"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","8/125","235/28943",8.71897253086762e-06,0.00109597484321543,0.000807408547113744,"BC034090/Plekhg3/Shtn1/Prickle2/Parva/Fat1/Pard3/Fez1",8,"HPPvsPFC","H3K27ac"
"GO:00071632","BP","GO:0007163","establishment or maintenance of cell polarity","5/107","235/28943",0.00183614527609421,0.0360587331620534,0.0271851046598695,"Crb2/Aqp1/Sipa1l3/Parva/Snap91",5,"HPPvsVTA","H3K27ac"
"GO:00452291","BP","GO:0045229","external encapsulating structure organization","14/213","324/28943",1.45783330102738e-07,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Col4a4/Tgfb2/Lamb1/Col8a1/Loxl4/Fap/Col9a3/Col8a2/Pdpn/Pdgfra/Antxr1/Phldb1/Loxl1",14,"HPPvsCTX","H3K27ac"
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","5/86","324/28943",0.00283274850701772,0.0339313683714082,0.0215651199182733,"Sulf1/Tgfb2/Lamb1/Col8a1/Antxr1",5,"HPPvsSTR","H3K27ac"
"GO:00301981","BP","GO:0030198","extracellular matrix organization","14/213","322/28943",1.35168093301026e-07,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Col4a4/Tgfb2/Lamb1/Col8a1/Loxl4/Fap/Col9a3/Col8a2/Pdpn/Pdgfra/Antxr1/Phldb1/Loxl1",14,"HPPvsCTX","H3K27ac"
"GO:0030198","BP","GO:0030198","extracellular matrix organization","5/86","322/28943",0.00275853448424752,0.0338155043579185,0.0214914824121826,"Sulf1/Tgfb2/Lamb1/Col8a1/Antxr1",5,"HPPvsSTR","H3K27ac"
"GO:00430621","BP","GO:0043062","extracellular structure organization","14/213","323/28943",1.40385218783975e-07,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Col4a4/Tgfb2/Lamb1/Col8a1/Loxl4/Fap/Col9a3/Col8a2/Pdpn/Pdgfra/Antxr1/Phldb1/Loxl1",14,"HPPvsCTX","H3K27ac"
"GO:0043062","BP","GO:0043062","extracellular structure organization","5/86","323/28943",0.00279546288205653,0.0339313683714082,0.0215651199182733,"Sulf1/Tgfb2/Lamb1/Col8a1/Antxr1",5,"HPPvsSTR","H3K27ac"
"GO:00312562","CC","GO:0031256","leading edge membrane","11/219","156/28804",3.38486271781616e-08,1.91808887342915e-06,1.40145193228879e-06,"Kcnh1/Ptprk/Wwc1/Arhgap44/Fam107a/Kank1/Pdpn/Antxr1/Atp2b2/Eps8l2/Myo6",11,"HPPvsCTX","H3K27ac"
"GO:0031256","CC","GO:0031256","leading edge membrane","5/91","156/28804",0.000139647988143407,0.00407039714329753,0.00249626186362411,"Kcnh1/Syne2/Antxr1/Atp2b2/Eps8l2",5,"HPPvsSTR","H3K27ac"
"GO:00988572","CC","GO:0098857","membrane microdomain","15/219","395/28804",4.15262230382478e-07,1.56876842588936e-05,1.14622089321947e-05,"Sulf1/Atp1b1/Cntn1/Emp2/Adcy5/Ezr/Myof/Pdpn/Ptpn11/Aqp1/Atp2b2/Gprc5b/Nedd4/Trpc1/Atp2b3",15,"HPPvsCTX","H3K27ac"
"GO:00988571","CC","GO:0098857","membrane microdomain","9/128","395/28804",7.10640748840211e-05,0.00172685701968171,0.00119686862962562,"Sulf1/Irs1/Atp1b1/Cntn1/Emp2/Adcy5/Itpr1/Atp2b2/Trpc1",9,"HPPvsPFC","H3K27ac"
"GO:00988573","CC","GO:0098857","membrane microdomain","7/111","395/28804",0.000865541361033455,0.0111699637187971,0.00775923326726584,"Sulf1/Atp1b1/Emp2/Aqp1/Itpr1/Atp1b3/Atp2b3",7,"HPPvsVTA","H3K27ac"
"GO:0098857","CC","GO:0098857","membrane microdomain","5/91","395/28804",0.00839905879835957,0.0471166713078707,0.0288953499096324,"Sulf1/Aqp1/Itpr1/Atp2b2/Atp2b3",5,"HPPvsSTR","H3K27ac"
"GO:00451212","CC","GO:0045121","membrane raft","15/219","394/28804",4.02166331616464e-07,1.56876842588936e-05,1.14622089321947e-05,"Sulf1/Atp1b1/Cntn1/Emp2/Adcy5/Ezr/Myof/Pdpn/Ptpn11/Aqp1/Atp2b2/Gprc5b/Nedd4/Trpc1/Atp2b3",15,"HPPvsCTX","H3K27ac"
"GO:00451211","CC","GO:0045121","membrane raft","9/128","394/28804",6.97029902884387e-05,0.00172685701968171,0.00119686862962562,"Sulf1/Irs1/Atp1b1/Cntn1/Emp2/Adcy5/Itpr1/Atp2b2/Trpc1",9,"HPPvsPFC","H3K27ac"
"GO:00451213","CC","GO:0045121","membrane raft","7/111","394/28804",0.000852869973350932,0.0111699637187971,0.00775923326726584,"Sulf1/Atp1b1/Emp2/Aqp1/Itpr1/Atp1b3/Atp2b3",7,"HPPvsVTA","H3K27ac"
"GO:0045121","CC","GO:0045121","membrane raft","5/91","394/28804",0.00831301904930854,0.0471166713078707,0.0288953499096324,"Sulf1/Aqp1/Itpr1/Atp2b2/Atp2b3",5,"HPPvsSTR","H3K27ac"
"GO:0030510","BP","GO:0030510","regulation of BMP signaling pathway","7/86","104/28943",2.68336033577959e-08,1.20885383126871e-05,7.68288432981105e-06,"Sulf1/Sfrp5/Fbn1/Msx1/Tgfbr3/Zfp423/Smad6",7,"HPPvsSTR","H3K27ac"
"GO:00305102","BP","GO:0030510","regulation of BMP signaling pathway","8/213","104/28943",1.06044665583654e-06,0.000204732482492442,0.000146927674815247,"Sulf1/Sfrp5/Crb2/Fbn1/Msx1/Tgfbr3/Sfrp1/Smad6",8,"HPPvsCTX","H3K27ac"
"GO:00305103","BP","GO:0030510","regulation of BMP signaling pathway","6/107","104/28943",2.50666279012956e-06,0.000997355969599777,0.000751918440807798,"Sulf1/Crb2/Fbn1/Msx1/Sfrp1/Smad6",6,"HPPvsVTA","H3K27ac"
"GO:00305101","BP","GO:0030510","regulation of BMP signaling pathway","5/125","104/28943",9.05979639153831e-05,0.00421372979108486,0.00310426965510282,"Sulf1/Sfrp5/Msx1/Tgfbr3/Sfrp1",5,"HPPvsPFC","H3K27ac"
"GO:00902872","BP","GO:0090287","regulation of cellular response to growth factor stimulus","15/213","318/28943",1.62746122045915e-08,1.67574256999944e-05,1.2026081860656e-05,"Sulf1/Grb10/Fgf18/Wfikkn2/Myof/Sfrp5/Crb2/Fbn1/Msx1/Cxcl13/Tgfbr3/Sfrp1/Smad6/Nedd4/Tmem108",15,"HPPvsCTX","H3K27ac"
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","9/86","318/28943",4.5646361018378e-07,0.000102818428193897,6.53463694578886e-05,"Sulf1/Sfrp5/Fbn1/Msx1/Cxcl13/Tgfbr3/Zfp423/Smad6/Tmem108",9,"HPPvsSTR","H3K27ac"
"GO:00902873","BP","GO:0090287","regulation of cellular response to growth factor stimulus","8/107","318/28943",2.46957773242506e-05,0.00265240513051607,0.00199967954363232,"Sulf1/Nrep/Crb2/Fbn1/Msx1/Sfrp1/Smad6/Tmem108",8,"HPPvsVTA","H3K27ac"
"GO:00902871","BP","GO:0090287","regulation of cellular response to growth factor stimulus","6/125","318/28943",0.00263877841377348,0.0274601644063459,0.0202300003363071,"Sulf1/Sfrp5/Msx1/Tgfbr3/Sfrp1/Tmem108",6,"HPPvsPFC","H3K27ac"
"GO:00900922","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","13/213","273/28943",1.35127980026867e-07,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Tgfb2/Wfikkn2/Bmp6/Sfrp5/Crb2/Fbn1/Bmp7/Magi2/Msx1/Tgfbr3/Sfrp1/Smad6",13,"HPPvsCTX","H3K27ac"
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","9/86","273/28943",1.26386381709451e-07,4.55496519680861e-05,2.8949133326291e-05,"Sulf1/Tgfb2/Sfrp5/Fbn1/Bmp7/Msx1/Tgfbr3/Zfp423/Smad6",9,"HPPvsSTR","H3K27ac"
"GO:00900923","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","8/107","273/28943",8.23077551170805e-06,0.00119218362989167,0.000898801314143077,"Sulf1/Nrep/Crb2/Fbn1/Bmp7/Msx1/Sfrp1/Smad6",8,"HPPvsVTA","H3K27ac"
"GO:00900921","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","7/125","273/28943",0.000190263396679642,0.00656985274292278,0.00484003377518387,"Sulf1/Tgfb2/Sfrp5/Bmp7/Msx1/Tgfbr3/Sfrp1",7,"HPPvsPFC","H3K27ac"
"GO:0071772","BP","GO:0071772","response to BMP","9/86","187/28943",4.84685518237727e-09,2.91134434621461e-06,1.85030822400929e-06,"Sulf1/Tgfb2/Sfrp5/Fbn1/Bmp7/Msx1/Tgfbr3/Zfp423/Smad6",9,"HPPvsSTR","H3K27ac"
"GO:00717722","BP","GO:0071772","response to BMP","11/213","187/28943",1.55172400729518e-07,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Tgfb2/Bmp6/Sfrp5/Crb2/Fbn1/Bmp7/Msx1/Tgfbr3/Sfrp1/Smad6",11,"HPPvsCTX","H3K27ac"
"GO:00717723","BP","GO:0071772","response to BMP","7/107","187/28943",6.35272165508213e-06,0.00105772815557117,0.000797433744598468,"Sulf1/Crb2/Fbn1/Bmp7/Msx1/Sfrp1/Smad6",7,"HPPvsVTA","H3K27ac"
"GO:00717721","BP","GO:0071772","response to BMP","7/125","187/28943",1.76204937054086e-05,0.00148730019091208,0.00109569931618427,"Sulf1/Tgfb2/Sfrp5/Bmp7/Msx1/Tgfbr3/Sfrp1",7,"HPPvsPFC","H3K27ac"
"GO:00017261","CC","GO:0001726","ruffle","10/219","151/28804",2.58914153006046e-07,1.25758302888651e-05,9.18853234728224e-06,"Wwc1/Gas7/Fam107a/Ezr/Kank1/Pdpn/Eps8l2/Cttn/Myo5a/Myo6",10,"HPPvsCTX","H3K27ac"
"GO:00071782","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","16/213","407/28943",6.75969747144749e-08,3.99439621544568e-05,2.86660592926636e-05,"Sulf1/Tgfb2/Ptprk/Wfikkn2/Itgb8/Bmp6/Sfrp5/Crb2/Fbn1/Bmp7/Nceh1/Magi2/Msx1/Tgfbr3/Sfrp1/Smad6",16,"HPPvsCTX","H3K27ac"
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","9/86","407/28943",3.48323375372643e-06,0.000482829786478079,0.000306863022190636,"Sulf1/Tgfb2/Sfrp5/Fbn1/Bmp7/Msx1/Tgfbr3/Zfp423/Smad6",9,"HPPvsSTR","H3K27ac"
"GO:00071781","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","9/125","407/28943",7.16131771279952e-05,0.00366887285416244,0.00270287162069656,"Sulf1/Tgfb2/Itgb8/Sfrp5/Bmp7/Nceh1/Msx1/Tgfbr3/Sfrp1",9,"HPPvsPFC","H3K27ac"
"GO:00071783","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","8/107","407/28943",0.000138417117785649,0.00953646211502507,0.0071896513811711,"Sulf1/Nrep/Crb2/Fbn1/Bmp7/Msx1/Sfrp1/Smad6",8,"HPPvsVTA","H3K27ac"
